nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_de_oportunidade,score_heuristico_oportunidade
municipio,SUDESTE,RJ,Rio de Janeiro,330320,Nilópolis,155500,4,4,1,376,161,91,11,42.819148936170215,12.087912087912088,24.18006430868167,10.353697749196142,58.52090032154341,7.073954983922829,96.57704475965039,12.331444125632284,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,ES,Espírito Santo,320240,Guarapari,136311,2,2,1,190,130,40,10,68.42105263157895,25.0,13.938713676812583,9.53701462097703,29.344660372237016,7.336165093059254,95.7915405031042,10.452298908096864,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,CE,Ceará,230100,Aquiraz,85316,4,4,1,140,46,0,0,32.857142857142854,0.0,16.40958319658681,5.391720193164237,0.0,0.0,95.3211778180986,12.800935607861376,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUL,SC,Santa Catarina,420830,Itapema,86116,1,1,1,48,48,0,0,100.0,0.0,5.573877096010033,5.573877096010033,0.0,0.0,94.64633303229616,12.920968760919292,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,PE,Pernambuco,260400,Carpina,83482,2,2,1,89,44,0,0,49.43820224719101,0.0,10.660980810234541,5.270597254497975,0.0,0.0,94.28325948955072,12.525759604476105,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORTE,AM,Amazonas,130185,Iranduba,68862,1,1,1,20,20,0,0,100.0,0.0,2.9043594435247306,2.9043594435247306,0.0,0.0,94.06604795009032,10.332153732342702,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,RN,Rio Grande do Norte,240360,Extremoz,68584,1,1,1,20,20,0,0,100.0,0.0,2.9161320424588824,2.9161320424588824,0.0,0.0,93.60555651315667,10.290442211655078,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,CE,Ceará,230970,Pacatuba,86564,1,1,1,51,51,0,0,100.0,0.0,5.89159465828751,5.89159465828751,0.0,0.0,92.3884199522468,12.988187326631722,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,NORDESTE,PB,Paraíba,250180,Bayeux,83862,1,1,1,48,48,0,0,100.0,0.0,5.723688917507333,5.723688917507333,0.0,0.0,90.91270821629455,12.582775352178615,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,RJ,Rio de Janeiro,330190,Itaboraí,240127,5,5,1,364,308,58,7,84.61538461538461,12.068965517241379,15.158645216906054,12.826545952766661,24.153885235729426,2.915124080174241,89.75693264952133,29.02900118042253,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
